label,sentence
1,"Also works the best for heat rash in hot, humid weather!  Works for me!I wish I had known about No-Rinse Body Bath when my Father was confined to his bed in a nursing home.My Father was in a wonderful, caring nursing home, so I called the Registered Nurse and recommended this wonderful  product.!"
1,"Overall, this is a great brush for applying mineral makeup. I have Bare Minerals, and it works great for putting it on my face. I have used other kabuki brushes, and it seems as though this one is more precise and doesn't put too much makeup in one place like some of the other brushes seemed to. Other people have mentioned in reviews that this brush loses bristles...of course it does, it's a brush! However, I only notice a bristle or two coming out once in a while, it's not a huge problem.I would recommend this brush, and I'm glad I bought it."
1,"After what was supposed to be a medium brown dye job turned into black I went looking for something that might correct the unfortunate mistake. My friend suggested to me that I try the One n' Only ColorFix (which is also available at Sally's for about $13). It worked like a charm! It left my hair a medium auburn brown after one application. The ColorFix can be used up to 3 times safely and at my hair length (shoulder-length), one box would have provided those three applications. Best of all it didn't leave my hair dry or damaged at all! The only thing that prevented me from rating this product 5 stars is the smell. I joke that it smells like death but if you're looking for more clarification it smells a lot like sulfer or rotten eggs. That smell will resurface for the first several days that you wet your hair to shampoo it. However, the end result is worth it. Highly recommend."
1,"I love different types of colognes and rotate between about 4 or 5 on a daily basis. I picked up 'ck One' the other day and immediately fell in love with the scent. It is a unique smell that cannot be compared to any other cologne I have come across. It is very fresh, but somewhat spicy; subtle, yet compliment-inducing. This is a fine product that is neither overpowered nor underpowered, but definitely noticeable enough to get some nice words to come your way from others. I may have trouble rotating between all my other colognes now that I found this gem. Highly recommended.Also: It appears that some of the reviews here are calling the product counterfeit when sold by Amazon and claim it smells like nothing but alcohol. For clarification purposes, I'd like to mention that I bought my bottle from a department store and it smells like the intended fragrance."
0,"I bought these for the mild acne on my chin and for convenience sake I mean, cleanser and exfoliater in one pad, plus great reviews AND a decent price, sounded great. Well, I used these at night for one week and these evil little pads ruined my face. I had and still have little red bumps all over my forehead and cheeks like my skin was burned off! I haven't used the pads in 2 days now, but my skin is still very dry, even peeling in some spots and the bumps are still there. Oh and my acne is still there too.No, I haven't changed anything else in my skincare routine either.I've NEVER had skin problems before, besides the above mentioned mild acne on my chin, so seeing red bumps all over my face was a little frightening. Hopefully they'll go away soon..I like Aveeno, I really do, so this is very disappointing, if I could give this zero stars I would."
1,* The shampoo works fine and I did like it better than the Almond and Shea Shampoo.* A great find for the price.
1,"This product is relatively good in the sense that it prevents breakouts. I usually put it on troubled areas every other night, and I've had few breakouts since I started to use this. Even though there are several creams that are more effective prescribed by the doctor (Aberela is extremely effective and my favorite for sure), this Neutrogena cream is the most effective I've had without having a prescription. It does make your skin dry"
1,"Worked well for my 2 long haired dogs. Their hair requires alot of product, but it made their hair very clean and shiny looking after."
1,"Received in timely fashion.  Price is less than the store, item is the same."
1,"I bought this to apply to my four post surgery incisions. Not straight away of course, but once the skin has knitted together, this oil works well for softening the skin and I think it helps with the healing process too."
1,Smells so fresh and clean... not too over powering... very natural Geranium aroma.... use it for shower soap also : )
1,this product doesn't feel heavy but is a bit greasy. but I love the coverage and it does last a long time. very little goes a long way. I will use this again.
1,"I ordered this product to combat acne both for my face and body (arms shoulders etc) So far it has worked wonderfully and I am pleased with the decrease in breakouts and how quickly existing acne is fading. I am not using three times a day as reccomended as I have extremely sensitive skin and tend to be conserative with any new creams, but so far so good no irritation!"
1,"I've used plenty of lotions that soften and hydrate, but don't remove the dry flaky skin. This lotion removes the flaky skin and leaves the hands smooth.  So far it the best lotion I've found to do this. I think it would be good for people with psoriasis on their hands."
1,"I picked up this dryer when I was staying some nights at my fiancee's apartment, so I could stash it out of his way when I wasn't there. It folds in half and the cord retracts into the handle, making it very small. I was immediately impressed with the power, I have pretty thick hair but I could completely dry it in just a few minutes. When we got married and bought a house it has stayed on with me, becoming my primary hair dryer. I have used it daily for about 3 years now and it has not faltered, definitely worth it!"
1,"I've been using this product for over 2 months now and am really pleased with how effective it is. I use it on any big problem pimples I get on my face, and by the next day the pimple will be much smaller! For me, this product dries out the pimple and ""purges"" it, making it come to a head very quickly, so it goes away quicker. If you have dry skin, be prepared for a little bit of peeling around the area you put the product. (I have extremely dry skin, but this doesn't cause excessive drying or anything uncomfortable, just peeling.) I'll definitely rebuy this product!"
1,This may work for some but not for me so I am still searching. for a moisturizer that will work for my skin.
