label,sentence
1," Brownish-amber coloured, thin, but firm and stable ""dirty"" white head; clean, sweet malty aroma"
1," (Old notes). A good belgian dubbel. Sweet, fruity, burnt sugar notes. I also found orange  peel too. A good beer from Chimay.
"
1," 330ml bottle.  Pours a clear copper brown color with excellent carbonation and a good brownish head.  Aroma is earthy and sweet, with a crisp hoppy scent of grapefruit and apricot along with a yeasty earthiness.  Taste is creamy and medium-bodied with a crisp fruity opening giving way to a tart hoppy finish.  Not quite in the same class as the other Chimays, but still a well done beer.
"
1," Bottle from BevMo in Vacaville, CA. Poured a reddish brown with a brown head. Like many other Belgian Strong Ales it smelled of dark fruits and just a hint of floral scents. Tasted of dried fruit, carmel and roasted malts. Hit the palate just right. WOW!!
"
1," draft. slightly hazed orange. cheese must and mold hop nose and flavor.  excessively bitter, chewy, syrupy and goopy texture, full-bodied.  resinous, raw, green, oily, moldy, ugh.  very, very difficult to enjoy.  brash, horrible flavor, unpalatable.
"
1," Thanks ScottyP for the hook up on this one. Pretty darn good little IPA. Best sessionable big IPA that Ive had in awhile. Nice spice component. Very fresh hop flavors with a nice lingering bitterness. Decent malt balance. All in all a nice beer.
"
1," Bottled - rich dark pour with small tan head - roasty, coffee aroma - fairly strong, dry, dark chocolate taste - really quite pleasant - a little thin near the finish, but otherwise a nice, drinkable stout.
"
1," Pours a murky dark orange amber color with a thick off-white head. Aroma is malt yeast a little floral.  Flavor is mice and balanced. Some good yeast and malt flavors. Very well balanced although a little hot. Nice Belgian.
"
1," Pale golden creamy white head.  Sweet aroma and flavor from the hops very light bodied with a hint of lingering bitterness.  A nice take on the light lager syle.
"
1," Just starting to learn to appreciate good beer.  I never understood what people meant by fruity..ect.  After trying my first Chimay Red, I do.  I really enjoyed this and can't wait to try the blue and the white.
"
1," A bit weak, roasted, berries, caramel. Flavor"
1," Absolutely beautiful! Nice clove and floral aroma/flavor. I actually enjoy this over the blue. I guess because it retains the wonderful complex aroma/flavor as the blue, but its a little easier to drink. Great great great great great!
"
1," on tap at brewpub. slight haze, pale yellow, decent head. cereals and herbs, fresh malts, orange-citrusy, wheat. lots of coriander and herbs, light but present grassy hopping, hint of sweetness. bubbly, light body.
"
1," the best of all three main version, it is strong with lots of fruity malts and a high alcohol content, lots of rich flavors. a must have for the beer snob.
"
1," Draft at Downtown Chattanooga location		Very English, as contrasted to the place mat description. Clearly outshined by the 375 that followed, just a bit too safe in the bitterness.
"
1," Dark brown with a tan foam. Fruity, yeasty with a dark caramel and vanilla finish. Maybe not the best Trappiste but very accessible.
"
1," JUL 3, 2009 Disney Boardwalk. On Tap. Props to Big River for brewing a brown ale to write home about. Oft maligned as a boring style, a good brown is difficult to come by. This one is earthy with a lightly sweet mouth-filling malty character balanced with just a touch of hops at the finish. Bordering on a brown porter, this brown makes a fantastically flavorful session beer that goes well with standard bar sandwich fare. It is also appealling to the eye with a dark brown body capped with a rocky resilient tan head. Solid lacing leaves a poignant reminder of how good a brown ale can be. 07/02/2009 - Had this on tap at Rock Bottom in Charlotte. Still one of the better browns Ive had. Residual earthy sweetness seemed stronger.
"
1," Pours solid orange color, decent head and lots of chunks floating around as well. Head dispersed rather quickly though. Kinda sour and too bitter for my tasting, glad I didnt buy the 6pack of this.
"
1," This beer has strong fizz and light peach flavor off the top, but its overall strength leaves no doubt that this special beverage is indeed a beer with a hearty soul. A soul that makes me want to chant in an incense filled room.
"
